(-3510.0,2840.0) name=C0_400, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3750.0,1075.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3570.0,1075.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3390.0,1075.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3745.92,1575.0) name=opt_hybrid_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-3505.92,1575.0) name=opt_hybrid_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-3265.92,1575.0) name=opt_hybrid_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-3025.92,1575.0) name=opt_hybrid_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2310.0,1075.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2130.0,1075.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-1950.0,1075.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2418.81,450.0) name=SIOH_dc_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2228.81,450.0) name=SIOH_dc_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2038.81,450.0) name=SIOH_dc_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-1848.81,450.0) name=SIOH_dc_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2718.38,1575.0) name=DIOH_dc_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2478.38,1575.0) name=DIOH_dc_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2238.38,1575.0) name=DIOH_dc_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-1998.38,1575.0) name=DIOH_dc_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=2
(-1250.0,-3750.0) name=SIOH_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-920.0,-3750.0) name=SIOH_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-590.0,-3750.0) name=SIOH_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-260.0,-3750.0) name=SIOH_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-530.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-350.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-170.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-530.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-350.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-170.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-290.0,-1360.0) name=C0_r10, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(-90.0,-1360.0) name=C0_r20, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(110.0,-1360.0) name=C0_r30, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(310.0,-1360.0) name=C0_r40, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(560.0,-1360.0) name=C0_r50, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(-290.0,-1060.0) name=C0_l0, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(-90.0,-1060.0) name=C0_l1, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(110.0,-1060.0) name=C0_l2, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(310.0,-1060.0) name=C0_l3, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(560.0,-1060.0) name=C0_l4, ports=DD, mode=TE, submitter='sequoiac', grouping=3
(-1250.0,-300.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1070.0,-300.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-890.0,-300.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(190.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(370.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(550.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1250.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1070.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-890.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-570.0,-1360.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-430.0,-1360.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-822.2,-1360.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(-698.81,-1360.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
